"date","quality","total_sleep_time_hrs"
2018-06-04,4,6.666666667
2018-06-03,4,6.666666667
2018-06-02,3,4.833333333
2018-06-01,4,9.833333333
2018-05-31,4,7.333333333
2018-05-30,2,4.666666667
2018-05-29,3,6.333333333
2018-05-27,4,9.666666667
2018-05-25,5,9
2018-05-24,1,7.5
2018-05-23,4,7.5
2018-05-22,2,7.166666667
2018-05-21,3,5.833333333
2018-05-20,3,6.333333333
2018-05-19,3,6.166666667
2018-05-18,2,7
2018-05-17,4,8
2018-05-16,5,7.333333333
2018-05-15,3,7.166666667
2018-05-14,3,6.5
2018-05-13,5,7.333333333
2018-05-12,1,4.666666667
2018-05-11,3,5.666666667
2018-05-09,4,8.166666667
2018-05-07,3,6.666666667
2018-05-06,2,7.166666667
2018-05-05,3,5.5
2018-05-04,3,4
2018-05-03,2,7.5
2018-05-02,3,4.5
2018-05-02,3,6.166666667
2018-04-29,3,6.166666667
2018-04-28,3,6.5
2018-04-27,4,6.333333333
2018-04-25,4,7.333333333
2018-04-24,4,6
2018-04-23,3,6.5
2018-04-21,3,5.333333333
2018-04-20,3,7
2018-04-19,2,5.333333333
2018-04-16,1,6
2018-04-14,3,7.5
2018-04-13,3,6.5
2018-04-11,3,5.666666667
2018-04-10,1,6.333333333
2018-04-09,3,6.333333333
2018-04-07,3,5.333333333
2018-04-06,3,7.166666667
2018-04-05,3,4.833333333
2018-04-04,3,4.166666667
2018-04-02,NA,6.666666667
2018-04-02,3,7.333333333
2018-03-31,4,6.833333333
2018-03-30,4,5.666666667
2018-03-29,2,4.833333333
2018-03-28,3,4.666666667
2018-03-27,2,5.833333333
2018-03-26,NA,7.5
2018-03-23,3,6.5
2018-03-22,2,7.333333333
2018-03-21,4,7.5
2018-03-20,4,4.666666667
2018-03-19,3,8
2018-03-18,5,9.333333333
2018-03-17,3,7.166666667
2018-03-16,4,8
2018-03-14,4,6.333333333
2018-03-13,4,7.5
2018-03-12,4,8.333333333
2018-03-10,4,8.666666667
2018-03-08,4,8.5
2018-03-07,4,6.5
2018-03-06,3,7.5
2018-03-05,3,4.666666667
2018-03-04,3,7.488883333
2018-03-02,3,6.166666667
2018-02-28,4,7.833333333
2018-02-27,4,6
2018-02-26,4,6.833333333
2018-02-25,4,7.666666667
2018-02-24,4,6
2018-02-23,3,6.833333333
2018-02-22,3,8.5
2018-02-21,4,6.833333333
2018-02-20,2,7.5
2018-02-19,3,8
2018-02-18,4,8
2018-02-15,4,9.833333333
2018-02-14,4,6
2018-02-13,3,6.166666667
2018-02-12,1,3.666666667
2018-02-11,3,4.833333333
2018-02-02,3,8.333333333
2018-01-31,1,5.5
2018-01-30,3,5.333333333
2018-01-29,3,5.5
2018-01-28,4,8.666666667
2018-01-28,4,9.333333333
2018-01-26,2,5.5
2018-01-24,3,5.666666667
2018-01-22,2,9.5
2018-01-20,2,6.166666667
2018-01-19,3,6.333333333
2018-01-18,1,5
2018-01-17,1,6
2018-01-16,1,5.166666667
2018-01-15,5,9.666666667
2018-01-14,2,4.333333333
2018-01-13,3,5.166666667
2018-01-12,4,9.833333333
2018-01-09,2,6.166666667
2018-01-08,1,4.666666667
2018-01-07,4,6.5
2018-01-06,4,9.5
2018-01-04,3,6.166666667
